Date,Close
3/3/2015 16:00,147.37
3/4/2015 16:00,147.17
3/5/2015 16:00,151.17
3/6/2015 16:00,149.54
3/9/2015 16:00,150.68
3/10/2015 16:00,148.16
3/11/2015 16:00,147.4
3/12/2015 16:00,149.44
3/13/2015 16:00,149.28
3/16/2015 16:00,149.99
3/17/2015 16:00,150.03
3/18/2015 16:00,150.93
3/19/2015 16:00,151.31
3/20/2015 16:00,152.59
3/23/2015 16:00,152.93
3/24/2015 16:00,153.14
3/25/2015 16:00,151.09
3/26/2015 16:00,150.06
3/27/2015 16:00,150.47
3/30/2015 16:00,152.37
3/31/2015 16:00,151.5
4/1/2015 16:00,150.24
4/2/2015 16:00,151.63
4/6/2015 16:00,152.5
4/7/2015 16:00,151.78
4/8/2015 16:00,152
4/9/2015 16:00,148.81
4/10/2015 16:00,149.64
4/13/2015 16:00,149.02
4/14/2015 16:00,149.52
4/15/2015 16:00,149.07
4/16/2015 16:00,147.11
4/17/2015 16:00,144.57
4/20/2015 16:00,146.31
4/21/2015 16:00,147.34
4/22/2015 16:00,146.98
4/23/2015 16:00,147.3
4/24/2015 16:00,148.12
4/27/2015 16:00,146.96
4/28/2015 16:00,146.61
4/29/2015 16:00,144.46
4/30/2015 16:00,143.05
5/1/2015 16:00,145.39
5/4/2015 16:00,145.75
5/5/2015 16:00,144.5
5/6/2015 16:00,144.77
5/7/2015 16:00,144.56
5/8/2015 16:00,145.88
5/11/2015 16:00,144.27
5/12/2015 16:00,144.07
5/13/2015 16:00,143.24
5/14/2015 16:00,142.6
5/15/2015 16:00,144.83
5/18/2015 16:00,145.06
5/19/2015 16:00,144.74
5/20/2015 16:00,143.49
5/21/2015 16:00,143.94
5/22/2015 16:00,143.68
5/26/2015 16:00,143.25
5/27/2015 16:00,145.42
5/28/2015 16:00,144.26
5/29/2015 16:00,142.59
6/1/2015 16:00,142.39
6/2/2015 16:00,141.4
6/3/2015 16:00,142.13
6/4/2015 16:00,140.65
6/5/2015 16:00,138.78
6/8/2015 16:00,138.05
6/9/2015 16:00,138.04
6/10/2015 16:00,139.43
6/11/2015 16:00,139.32
6/12/2015 16:00,138.78
6/15/2015 16:00,137.23
6/16/2015 16:00,137.98
6/17/2015 16:00,138.88
6/18/2015 16:00,140.5
6/19/2015 16:00,140.3
6/22/2015 16:00,140.19
6/23/2015 16:00,139.65
6/24/2015 16:00,138.34
6/25/2015 16:00,137.45
6/26/2015 16:00,138.06
6/29/2015 16:00,135.69
6/30/2015 16:00,135.06
7/1/2015 16:00,136.49
7/2/2015 16:00,136.39
7/6/2015 16:00,135.88
7/7/2015 16:00,140.5
7/8/2015 16:00,139.9
7/9/2015 16:00,139.45
7/10/2015 16:00,142.72
7/13/2015 16:00,144.06
7/14/2015 16:00,143.93
7/15/2015 16:00,143.63
7/16/2015 16:00,144.33
7/17/2015 16:00,144.68
7/20/2015 16:00,145.04
7/21/2015 16:00,144.94
7/22/2015 16:00,146.38
7/23/2015 16:00,145.6
7/24/2015 16:00,144.99
7/27/2015 16:00,144.25
7/28/2015 16:00,144.55
7/29/2015 16:00,145.38
7/30/2015 16:00,145.3
7/31/2015 16:00,145.3
8/3/2015 16:00,145.52
8/4/2015 16:00,144.84
8/5/2015 16:00,146.89
8/6/2015 16:00,146.44
8/7/2015 16:00,145.26
8/10/2015 16:00,146.25
8/11/2015 16:00,145.89
8/12/2015 16:00,146.49
8/13/2015 16:00,145.27
8/14/2015 16:00,146.09
8/17/2015 16:00,146.09
8/18/2015 16:00,145.63
8/19/2015 16:00,145.17
8/20/2015 16:00,143.71
8/21/2015 16:00,138.99
8/24/2015 16:00,132.97
8/25/2015 16:00,132.71
8/26/2015 16:00,138.16
8/27/2015 16:00,140.21
8/28/2015 16:00,139.95
8/31/2015 16:00,140.05
9/1/2015 16:00,138.3
9/2/2015 16:00,140.42
9/3/2015 16:00,140.48
9/4/2015 16:00,138.48
9/8/2015 16:00,141.43
9/9/2015 16:00,139.68
9/10/2015 16:00,140.01
9/11/2015 16:00,141.05
9/14/2015 16:00,141.15
9/15/2015 16:00,142.43
9/16/2015 16:00,143.61
9/17/2015 16:00,143.35
9/18/2015 16:00,141.81
9/21/2015 16:00,143.21
9/22/2015 16:00,142.65
9/23/2015 16:00,145.43
9/24/2015 16:00,144.87
9/25/2015 16:00,145.55
9/28/2015 16:00,143.55
9/29/2015 16:00,143.72
9/30/2015 16:00,144.57
10/1/2015 16:00,144.56
10/2/2015 16:00,145.86
10/5/2015 16:00,148.07
10/6/2015 16:00,148.41
10/7/2015 16:00,147.96
10/8/2015 16:00,151.66
10/9/2015 16:00,153.97
10/12/2015 16:00,153.63
10/13/2015 16:00,152.28
10/14/2015 16:00,149.84
10/15/2015 16:00,151.77
10/16/2015 16:00,152.06
10/19/2015 16:00,153.22
10/20/2015 16:00,154.56
10/21/2015 16:00,155.21
10/22/2015 16:00,158.15
10/23/2015 16:00,155.74
10/26/2015 16:00,156.73
10/27/2015 16:00,157.76
10/28/2015 16:00,157.76
10/29/2015 16:00,158.28
10/30/2015 16:00,158.12
11/2/2015 16:00,159.15
11/3/2015 16:00,158.8
11/4/2015 16:00,157.15
11/5/2015 16:00,156.27
11/6/2015 16:00,157.55
11/9/2015 16:00,155.16
11/10/2015 16:00,156.41
11/11/2015 16:00,156.39
11/12/2015 16:00,156
11/13/2015 16:00,153.67
11/16/2015 16:00,156.45
11/17/2015 16:00,158.89
11/18/2015 16:00,161.25
11/19/2015 16:00,162.83
11/20/2015 16:00,163.1
11/23/2015 16:00,163.45
11/24/2015 16:00,162.19
11/25/2015 16:00,162.39
11/27/2015 16:00,163.58
11/30/2015 16:00,161.42
12/1/2015 16:00,161.29
12/2/2015 16:00,161.09
12/3/2015 16:00,163.67
12/4/2015 16:00,166.8
12/7/2015 16:00,167.12
12/8/2015 16:00,168.87
12/9/2015 16:00,159.72
12/10/2015 16:00,161.86
12/11/2015 16:00,160.02
12/14/2015 16:00,161.84
12/15/2015 16:00,161.29
12/16/2015 16:00,162.76
12/17/2015 16:00,160.68
12/18/2015 16:00,157.7
12/21/2015 16:00,159.39
12/22/2015 16:00,161.23
12/23/2015 16:00,161.71
12/24/2015 16:00,161.75
12/28/2015 16:00,161.16
12/29/2015 16:00,162.66
12/30/2015 16:00,162.71
12/31/2015 16:00,161.5
1/4/2016 16:00,159.54
1/5/2016 16:00,159.93
1/6/2016 16:00,158.45
1/7/2016 16:00,154.82
1/8/2016 16:00,152.11
1/11/2016 16:00,154.72
1/12/2016 16:00,156.06
1/13/2016 16:00,152.12
1/14/2016 16:00,153.18
1/15/2016 16:00,150.39
1/19/2016 16:00,150.47
1/20/2016 16:00,148.82
1/21/2016 16:00,150.38
1/22/2016 16:00,153.69
1/25/2016 16:00,150.78
1/26/2016 16:00,148.5
1/27/2016 16:00,147.73
1/28/2016 16:00,149.59
1/29/2016 16:00,151.12
2/1/2016 16:00,151.25
2/2/2016 16:00,148.5
2/3/2016 16:00,146.7
2/4/2016 16:00,143.28
2/5/2016 16:00,143.99
2/8/2016 16:00,147.02
2/9/2016 16:00,147.94
2/10/2016 16:00,148.05
2/11/2016 16:00,146.65
2/12/2016 16:00,148.65
2/16/2016 16:00,149.11
2/17/2016 16:00,150.91
2/18/2016 16:00,148.65
2/19/2016 16:00,148.7
2/22/2016 16:00,150.06
2/23/2016 16:00,150.36
2/24/2016 16:00,153.87
2/25/2016 16:00,154.72
2/26/2016 16:00,149.68
2/29/2016 16:00,150.03
3/1/2016 16:00,150.52
3/2/2016 16:00,152.79
3/3/2016 16:00,151.6
3/4/2016 16:00,150.9
3/7/2016 16:00,148.17
3/8/2016 16:00,150.95
3/9/2016 16:00,153.05
3/10/2016 16:00,152.87
3/11/2016 16:00,152.71
3/14/2016 16:00,152.67
3/15/2016 16:00,154.18
3/16/2016 16:00,154.06
3/17/2016 16:00,153.84
3/18/2016 16:00,153.15
3/21/2016 16:00,153.94
3/22/2016 16:00,152.23
3/23/2016 16:00,153.51
3/24/2016 16:00,151.43
3/28/2016 16:00,152.67
3/29/2016 16:00,155.26
3/30/2016 16:00,157.6
3/31/2016 16:00,157.58
4/1/2016 16:00,158.25
4/4/2016 16:00,157.73
4/5/2016 16:00,155.99
4/6/2016 16:00,156.77
4/7/2016 16:00,152.03
4/8/2016 16:00,151.65
